"United Nations, Department of Economic and Social Affairs",,,,,,,,,,,,,,,,,,,,,
"Population Division, Fertility and Family Planning Section",,,,,,,,,,,,,,,,,,,,,
"World Fertility Data 2012
AGE-SPECIFIC FERTILITY RATES, TOTAL FERTILITY AND MEAN AGE AT CHILDBEARING
Trinidad and Tobago,780,Latest,2006,,1.50,33,78,83,63,33,9,1,27.7,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Tunisia,788,Around 1970,1970,,6.09,46,254,302,274,206,96,40,30.7,Registration,UNSD,,,,,,
Tunisia,788,Around 1985,1985,,4.44,30,171,244,234,138,53,18,30.4,Registration,UNSD,,,,,,
Tunisia,788,Around 1995,1995,,2.61,13,91,149,141,88,33,8,30.6,Registration,UNSD,,,,,,
Tunisia,788,Around 2005,2005,,2.04,6,53,118,127,80,22,2,31.1,Registration,National statistics,,,,,,
Tunisia,788,Latest,2007,,2.05,6,54,119,127,78,24,2,31.1,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Turkey,792,..,1977,1975-1978,4.31,97,254,221,152,96,40,2,27.6,Survey,WFS,Turkey 1978 World Fertility Survey,,,,,
Turkey,792,Around 1985,1981,1978-1983,4.17,68,233,239,161,87,38,8,28.2,Survey,National statistics,Turkey 1983 Population and Health Survey,,,,,
Turkey,792,Around 1995,1997,1995-1998,2.61,60,163,150,93,42,13,1,26.9,Survey,DHS,Turkey 1998 Demographic and Health Survey,,,,,
Turkey,792,Around 2005,2007,2005-2008,2.16,35,126,133,91,36,10,1,27.5,Survey,National statistics,Turkey 2008 Demographic and Health Survey,,,,,
Turkey,792,Latest,2010,,1.99,30,108,120,85,43,10,2,28.0,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Turkmenistan,795,Around 1970,1970,1969-1970,5.93,34,271,276,250,213,110,31,30.9,Registration,National statistics,,,,,,
Turkmenistan,795,Around 1985,1985,1984-1985,4.67,20,238,294,197,126,50,9,29.4,Registration,National statistics,,,,,,
Turkmenistan,795,Around 1995,1999,1997-2000,2.88,30,184,195,105,48,14,1,27.5,Survey,DHS,Turkmenistan 2000 Demographic and Health Survey,,,,,
Turkmenistan,795,Around 2005,2003,,2.60,22,162,183,100,20,,,24.4,Registration,TransMONEE,,,Data shown for women aged 35-39 pertain to women aged 35-49. ,,,
Turkmenistan,795,Latest,2006,,2.60,21,155,182,98,19,,,24.6,Registration,TransMONEE,,,Data shown for women aged 35-39 pertain to women aged 35-49. ,,,
Turks and Caicos Islands,796,..,2001,,1.43,41,65,64,72,26,13,4,28.0,Census,CARICOM,,,,,,
Tuvalu,798,Around 1970,1970,1968-1972,4.03,40,213,200,172,125,52,3,29.3,Census,National statistics,,,,Estimates based on the own-children method.,,
Tuvalu,798,..,1979,,2.80,27,139,159,144,68,22,1,28.9,Census,National statistics,,,,,,
Tuvalu,798,Around 1995,1995,,3.37,19,122,205,168,127,33,..,30.2,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Tuvalu,798,..,2005,2002-2007,3.72,44,202,215,149,92,36,6,28.7,Survey,DHS,Tuvalu 2007 Demographic Health Survey (national),,,,,
Tuvalu,798,Latest,2005,,3.02,28,178,184,98,83,29,4,28.6,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Uganda,800,Around 1970,1969,1968-1969,7.12,198,341,322,253,189,87,35,28.5,Census,National statistics,,,,,,
Uganda,800,Around 1985,1987,1985-1988,7.38,188,325,329,271,234,93,37,29.1,Survey,DHS,Uganda 1988-1989 Demographic and Health Survey,,,,,
Uganda,800,Around 1995,1993,1992-1995,6.86,204,319,309,244,177,89,29,28.4,Survey,DHS,Uganda 1995 Demographic and Health Survey,,,,,
Uganda,800,Around 2005,2004,2003-2006,6.67,152,309,305,258,190,94,26,29.0,Survey,DHS,Uganda 2006 Demographic and Health Survey,,,,,
Uganda,800,Latest,2010,2008-2011,6.20,134,313,291,232,172,74,23,28.7,Survey,DHS,Uganda 2011 Demographic and Health Survey,,,,,
Ukraine,804,Around 1970,1970,,2.09,35,174,103,69,29,7,1,26.4,Registration,UNSD,,,,,,
Ukraine,804,Around 1985,1987,,2.05,52,169,111,52,21,4,0,25.5,Registration,UNSD,,,,"Excluding infants born alive of less than 28 weeks' gestation, of less than 1 000 grams in weight and 35 centimeters in length, who die within seven days of birth.",The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Ukraine,804,Around 2005,2004,,1.22,29,93,71,35,12,2,0,25.7,Registration,UNSD,,,Age classification based on year of birth of mother rather than the exact age of mother at birth of child.,"Excluding infants born alive of less than 28 weeks' gestation, of less than 1 000 grams in weight and 35 centimeters in length, who die within seven days of birth.",,
Ukraine,804,Latest,2007,,1.35,30,94,79,46,17,3,0,26.3,Registration,UNSD,,,,"Data refer to births with weight 500g and more (if weight is unknown - with length 25 centimeters and more, or with gestation during 22 weeks or more).",The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
United Arab Emirates,784,Around 1985,1987,1986-1987,5.91,55,201,259,288,191,128,60,31.7,Survey,GCHS,United Arab Emirates 1987-1988 Child Health Survey,Data pertain to nationals of the country.,,,,
United Arab Emirates,784,Around 1995,1999,,2.80,24,121,135,125,84,47,23,30.7,Registration,National statistics,,,,,,
United Arab Emirates,784,Around 2005,2006,,1.96,33,112,142,73,25,6,1,27.1,Registration,National statistics,,,,,,
United Arab Emirates,784,Latest,2009,,2.02,34,116,145,75,26,7,1,27.1,Registration,National statistics,,,,,,
United Kingdom,826,Around 1970,1970,,2.41,50,155,154,80,35,9,1,26.7,Registration,Eurostat,,,,,,
United Kingdom,826,Around 1985,1985,,1.79,30,95,128,77,24,5,0,27.3,Registration,UNSD,,,,,,
United Kingdom,826,Around 1995,1995,,1.71,28,76,108,87,36,6,0,28.2,Registration,UNSD,,,,,,
United Kingdom,826,Around 2005,2004,,1.76,26,71,95,100,49,10,0,29.0,Registration,UNSD,,,"Data tabulated by date of occurrence for England and Wales, and by date of registration for Northern Ireland and Scotland.",,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
United Kingdom,826,Latest,2009,,1.95,25,74,108,110,59,12,1,29.3,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
United Republic of Tanzania,834,Around 1970,1973,,7.10,152,336,325,263,200,102,43,29.3,Survey,National statistics,United Republic of Tanzania 1973 National Demographic Survey,,,,,
United Republic of Tanzania,834,Around 1985,1988,,6.50,100,270,286,260,209,115,59,30.5,Census,National statistics,,,,,,
United Republic of Tanzania,834,Around 1995,1995,1993-1996,5.82,135,260,255,217,167,87,42,29.4,Survey,DHS,United Republic of Tanzania 1996 Demographic and Health Survey,,,,,
United Republic of Tanzania,834,Around 2005,2003,2001-2004,5.66,132,274,254,218,156,79,18,28.8,Survey,DHS,United Republic of Tanzania 2004-2005 Demographic and Health Survey,,,,,
United Republic of Tanzania,834,Latest,2008,2007-2010,5.44,116,260,249,207,161,72,22,29.1,Survey,DHS,United Republic of Tanzania 2010 Demographic and Health Survey,,,,,
United States of America,840,Around 1970,1970,,2.45,63,168,145,73,32,8,0,26.2,Registration,National statistics,,,,,,
United States of America,840,Around 1985,1985,,1.84,51,109,111,68,24,4,0,26.4,Registration,UNSD,,,,,,
United States of America,840,Around 1995,1995,,2.01,57,110,112,83,34,7,0,26.8,Registration,UNSD,,,,,,
United States of America,840,Around 2005,2005,,2.04,40,102,115,96,46,9,1,27.9,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
United States of America,840,Latest,2008,,2.08,41,103,115,99,47,10,1,28.0,Registration,UNSD,,,,,,
United States Virgin Islands,850,Around 1970,1970,,5.28,228,288,250,160,95,31,4,26.2,Registration,UNSD,,,,,,
United States Virgin Islands,850,Around 1985,1985,,2.83,79,173,162,99,41,12,0,26.5,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
United States Virgin Islands,850,Around 1995,1995,,2.71,81,145,151,98,55,11,1,26.9,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
United States Virgin Islands,850,Around 2005,2002,,2.32,56,142,125,84,46,11,1,27.1,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
United States Virgin Islands,850,Latest,2007,,2.50,53,147,146,94,49,8,3,27.2,Registration,UNSD,,,,,,
Uruguay,858,Around 1970,1970,,2.71,63,148,142,105,57,24,3,27.8,Registration,UNSD,,,,,,
Uruguay,858,Around 1985,1985,,2.49,56,130,137,100,56,18,2,27.8,Registration,UNSD,,,,,,
Uruguay,858,Around 1995,1996,,2.55,76,128,134,100,55,16,1,27.3,Registration,UNSD,,,,,,
Uruguay,858,Around 2005,2005,,1.96,60,91,96,83,48,13,1,27.6,Registration,UNSD,,,,Mid-year estimates have been adjusted for underenumeration at latest census.,,
Uruguay,858,Latest,2007,,1.96,59,92,92,86,48,12,1,27.7,Registration,UNSD,,,,,,
Uzbekistan,860,Around 1970,1970,,5.64,42,261,265,246,195,92,27,30.5,Registration,National statistics,,,,,,
Uzbekistan,860,Around 1985,1985,,4.65,35,288,278,182,106,35,7,28.4,Registration,National statistics,,,,,,
Uzbekistan,860,Around 1995,1995,1993-1996,3.34,61,266,176,114,39,9,3,26.3,Survey,DHS,Uzbekistan 1996 Demographic and Health Survey,,,,,
Uzbekistan,860,Around 2005,2000,,2.58,21,205,161,90,31,7,1,26.8,Registration,UNSD,,,,"Excluding infants born alive of less than 28 weeks' gestation, of less than 1 000 grams in weight and 35 centimeters in length, who die within seven days of birth.",,
Uzbekistan,860,Latest,2006,2005-2006,2.44,26,186,161,81,28,6,0,26.7,Survey,MICS,Uzbekistan 2006 Multiple Indicator Cluster Survey,,,,,
Vanuatu,548,Around 1970,1967,1966-1967,6.75,102,320,356,292,196,76,8,29.1,Census,National statistics,,,,,,
Vanuatu,548,..,1976,1974-1978,6.56,91,294,327,265,179,110,45,30.0,Census,National statistics,,,,,,
Vanuatu,548,Around 1985,1989,1988-1989,4.88,78,234,248,195,138,61,22,29.3,Census,National statistics,,,,,,
Vanuatu,548,Around 1995,1999,,4.80,92,..,..,..,..,..,..,..,Census,SPC,,,,,,
Venezuela (Bolivarian Republic of),862,Around 1970,1970,,5.68,112,280,288,210,167,62,13,28.7,Registration,UNSD,,,,,,
Venezuela (Bolivarian Republic of),862,Around 1985,1985,,3.59,87,180,183,140,84,34,9,28.1,Registration,UNSD,,,,,,
Venezuela (Bolivarian Republic of),862,Around 1995,1995,,2.87,93,159,138,100,59,21,4,27.1,Registration,UNSD,,,,,,
Venezuela (Bolivarian Republic of),862,Around 2005,2005,,2.65,91,152,128,88,50,18,4,26.8,Registration,National statistics,,,,,,
Venezuela (Bolivarian Republic of),862,Latest,2007,,2.61,102,146,123,87,48,14,2,26.4,Registration,UNSD,,,,,,
Viet Nam,704,Around 1970,1971,1969-1974,5.90,..,..,..,..,..,..,..,..,Census,National statistics,,,,,,
Viet Nam,704,Around 1985,1985,1983-1987,4.80,7,151,264,237,160,84,58,32.1,Survey,National statistics,Viet Nam 1988 Demographic and Health Survey (national),,,,,
Viet Nam,704,Around 1995,1996,1994-1997,2.34,32,164,132,81,41,15,2,27.4,Survey,DHS,Viet Nam 1997 Demographic and Health Survey,,,,,
Viet Nam,704,Around 2005,2005,2004-2006,2.08,28,138,130,75,36,9,1,27.3,Survey,National statistics,Viet Nam 2006 Annual Population Change Survey,,,,,
Viet Nam,704,Latest,2009,2008-2010,2.00,35,130,124,71,30,9,1,27.0,Survey,National statistics,Viet Nam 2010 Annual Population Change Survey,,,,,
Wallis and Futuna Islands,876,Around 1970,1969,,6.91,26,253,302,387,253,161,0,31.4,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Wallis and Futuna Islands,876,Around 1985,1983,1982-1984,5.75,30,220,310,250,230,100,10,30.8,Registration,National statistics,,,,,,
Wallis and Futuna Islands,876,Around 1995,1996,,3.12,18,93,153,206,99,46,10,31.1,Census,National statistics,,,,,,
Wallis and Futuna Islands,876,Around 2005,2005,,2.12,13,102,131,110,48,20,0,29.1,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Wallis and Futuna Islands,876,Latest,2008,,1.85,12,77,122,95,54,10,0,29.3,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Yemen,887,..,1977,1974-1979,8.51,175,346,346,334,229,197,75,30.4,Survey,WFS,Yemen (Former Yemen Arab Republic) 1979 World Fertility Survey,,,,,
Yemen,887,..,1990,1988-1991,7.67,102,283,315,284,258,172,120,31.8,Survey,DHS,Yemen 1991-1992 Demographic and Health Survey,,,,,
Yemen,887,Around 1995,1996,1994-1997,6.49,105,279,301,258,196,105,54,30.2,Survey,DHS,Yemen 1997 Demographic and Health Survey,,,,,
Yemen,887,Around 2005,2002,2000-2003,6.16,83,245,286,255,182,111,69,30.8,Survey,PAPFAM,Yemen 2003 Family Health Survey,,,,,
Yemen,887,Latest,2005,2003-2006,5.16,80,211,247,221,156,78,39,30.2,Survey,MICS,Yemen 2006 Multiple Indicator Cluster Survey,,,,,
Zambia,894,Around 1970,1974,,6.65,137,143,209,353,340,111,37,31.6,Survey,National statistics,Zambia 1974 Sample Census,,,,,
Zambia,894,..,1990,1989-1992,6.46,156,294,271,242,194,105,31,29.3,Survey,DHS,Zambia 1992 Demographic and Health Survey,,,,,
Zambia,894,Around 1995,1995,1993-1996,6.08,158,280,274,229,175,77,24,28.8,Survey,DHS,Zambia 1996 Demographic and Health Survey,,,,,
Zambia,894,Around 2005,2000,1999-2002,5.87,160,266,249,218,172,79,30,28.9,Survey,DHS,Zambia 2001-2002 Demographic and Health Survey,,,,,
Zambia,894,Latest,2006,2004-2007,6.16,146,274,263,240,191,90,29,29.3,Survey,DHS,Zambia 2007 Demographic and Health Survey,,,,,
Zimbabwe,716,Around 1970,1969,1968-1969,6.74,79,272,304,257,218,145,73,31.2,Census,National statistics,,,,,,
Zimbabwe,716,Around 1985,1987,1985-1988,5.42,102,251,250,212,158,80,32,29.5,Survey,DHS,Zimbabwe 1988 Demographic and Health Survey,,,,,
Zimbabwe,716,Around 1995,1998,1996-1999,3.98,112,199,180,135,108,46,15,28.3,Survey,DHS,Zimbabwe 1999 Demographic and Health Survey,,,,,
Zimbabwe,716,Around 2005,2004,2002-2005,3.80,99,205,172,144,86,42,13,28.1,Survey,DHS,Zimbabwe 2005-2006 Demographic and Health Survey,,,,,
Zimbabwe,716,Latest,2009,2008-2011,4.11,115,212,194,149,104,35,12,27.9,Survey,DHS,Zimbabwe 2010-2011 Demographic and Health Survey,,,,,
